順位,名前,動画,レス,pixiv,検索,得点,前回
376,モルダー(淫夢),13,2,0,216,14,362
377,極道兄貴,8,12,0,194,14,332
378,OSD,10,7,0,640,14,458
379,堀川雷鼓(淫夢),11,6,0,92,14,371
380,TDN弟,9,7,1,246,14,369
381,MASARU(B+B),10,5,0,972,13,
381,山本竜二,12,2,0,472,13,112
383,ヒデ(筋肉黄金期),12,2,0,118,13,351
384,久保帯人(淫夢),7,12,0,99,13,343
385,OKB君,9,8,0,56,13,382
386,無らい,10,3,1,440,13,370
387,GONTA,9,6,0,913,13,366
388,蟲戦士ヘルワーム,3,17,1,338,13,379
389,OOHT,11,3,0,238,13,373
390,ネアンデルタール,3,11,3,1070,13,442
391,山本ルーカス,11,2,0,188,12,409
392,スタッフ中井,10,4,0,156,12,356
393,田中(迫真先生),12,0,0,110,12,407
394,極道熊,9,4,1,88,12,286
395,ピエール瀧(淫夢),9,6,0,69,12,395
396,チンコに名前を付ける男,10,4,0,57,12,
396,近藤P,10,4,0,57,12,322
398,TNKDISK,11,2,0,37,12,396
399,ピポサルくん,9,5,0,199,12,391
400,ウルトラ巨根課長,4,15,0,165,12,326
401,オナニー男,3,4,3,3620,12,455
402,川崎京一,11,1,0,104,12,284
403,リアクション芸人(淫夢),6,9,1,71,12,
404,小籔千豊(淫夢),9,5,0,65,12,406
405,SRIKNZU(鎮念),8,7,0,53,12,398
406,K2兄貴,10,3,0,46,12,372
407,渉(淫夢),10,3,0,38,12,295
408,KGR,10,0,1,511,12,497
409,純情スーツ兄貴,6,10,0,265,11,399
410,北関東チャラ男,8,6,0,190,11,385
411,源氏パイ(淫夢),6,10,0,65,11,280
412,焦げた食パンマン,8,3,1,293,11,
413,DRVS弟,9,3,0,198,11,400
414,たるとのオリキャラ,4,13,0,172,11,203
415,メガデス戦闘員,5,2,4,597,11,374
416,優雅(淫夢),8,5,0,54,11,331
417,藤井聡太(淫夢),3,15,0,52,11,310
417,TRSM,10,0,0,552,11,54
419,gejir@,8,1,0,1960,10,430
420,クインテットアキラ,8,4,0,400,10,411
421,商店主,5,6,2,360,10,242
422,PG66でNKTIDKSGの後に出てくるやつ,5,10,0,169,10,408
423,TKZW,10,0,0,140,10,423
424,坂本副機長,9,2,0,131,10,418
425,本格的にドラえもんに見捨てられたのび太,1,18,0,109,10,
426,モーモーパンツ兄貴,7,6,0,86,10,414
427,二章でDRVSのスカウトを断った奴,2,16,0,47,10,376
428,MSW(淫夢),10,0,0,10,10,397
429,まもるっ,6,6,0,908,10,353
430,KTYM,7,3,1,196,10,435
431,のび太を見捨てたドラえもんシャツ兄貴,3,13,0,128,10,380
432,MasuoTV(淫夢),4,11,0,55,10,439
433,どんちゃん(淫夢),9,1,0,53,10,402
434,RYO(淫夢),9,1,0,37,10,436
435,ファンキー遠野,6,4,1,308,9,349
436,GOSEIRED,8,2,0,296,9,312
437,半泣き男,2,14,0,285,9,274
438,道隆(淫夢),7,0,2,89,9,416
439,あたる(淫夢),7,4,0,59,9,404
440,ユウスケ(淫夢),8,2,0,45,9,306
441,ISI君,8,1,0,370,9,428
442,MEGWIN(淫夢),6,5,0,172,9,410
443,凛汰,7,3,0,170,9,390
444,独眼竜兄貴,8,1,0,149,9,448
445,砂時計君,8,1,0,90,9,392
446,楠(淫夢),7,3,0,52,9,421
447,ひで(46),3,11,0,46,9,460
448,YNG(淫夢),8,1,0,42,9,413
449,Discovery6で野獣先輩の後に出てくるやつ,5,6,0,411,8,422
450,ともや(淫夢),5,6,0,254,8,251
451,イケボ親父,3,10,0,235,8,363
452,AKB48の秋元才加ファンだというハンサムな太目中年,2,12,0,71,8,444
453,教頭(淫夢),7,2,0,56,8,387
454,三又又三(淫夢),6,4,0,46,8,425
455,ガチデブ系の男,6,4,0,23,8,345
456,虎寅,5,5,0,512,8,419
457,真彦(SP),7,2,0,10,8,415
458,ねこぢるの校長,3,9,0,282,8,427
459,野獣保健医,6,3,0,265,8,337
460,TKHS団長,6,3,0,116,8,443
461,隆(淫夢),7,1,0,83,8,446
462,サザンクロス君,7,1,0,74,8,417
463,TKY(淫夢),5,5,0,49,8,459
464,ドレミー・セーター,4,7,0,36,8,336
465,イグニス(淫夢),2,11,0,10,8,438
