順位,名前,動画,BB,レス,pixiv,前回,得点
389,隆(淫夢),7,0,1,2,446(+57),9.3
389,精子を出していただいたお客様,4,1,21,0,New!!,9.3
394,クインテットアキラ,8,3,4,0,411(+17),9
394,道隆(淫夢),7,1,0,2,416(+22),9
394,リアクション芸人(淫夢),6,1,8,1,New!!,9
397,凛汰,7,0,3,1,390(-7),8.8
398,商店主,5,0,6,2,242(-156),8.5
398,源氏パイ(淫夢),6,0,10,0,280(-118),8.5
398,ユウスケ(淫夢),8,0,2,0,306(-92),8.5
398,GOSEIRED,8,0,2,0,312(-86),8.5
398,純情スーツ兄貴,6,1,10,0,399(+1),8.5
398,モーモーパンツ兄貴,7,1,6,0,414(+16),8.5
404,砂時計君,8,1,1,0,392(-12),8.3
404,YNG(淫夢),8,0,1,0,413(+9),8.3
404,ISI君,8,2,1,0,428(+24),8.3
404,gejir@,8,0,1,0,430(+26),8.3
404,独眼竜兄貴,8,1,1,0,448(+44),8.3
409,ファンキー遠野,6,2,4,1,349(-60),8
409,蟲戦士ヘルワーム,3,0,16,1,379(-30),8
409,あたる(淫夢),7,1,4,0,404(-5),8
409,慎悟,8,1,0,0,441(+32),8
413,ウルトラ巨根課長,4,2,15,0,326(-87),7.8
413,楠(淫夢),7,0,3,0,421(+8),7.8
413,KTYM,7,1,3,0,435(+22),7.8
416,しょうこちゃん,5,2,10,0,297(-119),7.5
416,哲(キックボクサー),7,1,2,0,368(-48),7.5
416,教頭(淫夢),7,1,2,0,387(-29),7.5
416,PG66でNKTIDKSGの後に出てくるやつ,5,2,10,0,408(-8),7.5
416,真彦(SP),7,6,2,0,415(-1),7.5
421,たるとのオリキャラ,4,0,13,0,203(-218),7.3
421,MEGWIN(淫夢),6,0,5,0,410(-11),7.3
421,サザンクロス君,7,0,1,0,417(-4),7.3
424,ガチデブ系の男,6,1,4,0,345(-79),7
424,三又又三(淫夢),6,1,4,0,425(+1),7
424,山本(迫真先生),7,2,0,0,452(+28),7
424,オナニー男,3,1,4,3,455(+31),7
428,藤井聡太(淫夢),3,0,15,0,310(-118),6.8
428,野獣保健医,6,0,3,0,337(-91),6.8
428,MasuoTV(淫夢),4,3,11,0,439(+11),6.8
428,TKHS団長,6,3,3,0,443(+15),6.8
432,ともや(淫夢),5,0,6,0,251(-181),6.5
432,Discovery6で野獣先輩の後に出てくるやつ,5,3,6,0,422(-10),6.5
432,傘くん,3,0,2,3,483(+51),6.5
435,のび太を見捨てたドラえもんシャツ兄貴,3,0,13,0,380(-55),6.3
435,虎寅,5,0,5,0,419(-16),6.3
435,谷(淫夢),6,0,1,0,447(+12),6.3
435,TKY(淫夢),5,0,5,0,459(+24),6.3
439,ロバートAKYM,5,0,4,0,309(-130),6
439,二章でDRVSのスカウトを断った奴,2,1,16,0,376(-63),6
439,BROS.,5,0,4,0,434(-5),6
442,ドレミー・セーター,4,1,7,0,336(-106),5.8
442,18才童貞君,5,1,3,0,403(-39),5.8
442,YKB,2,1,11,1,429(-13),5.8
442,飯田ショーフキン,5,0,3,0,445(+3),5.8
442,ひで(46),3,0,11,0,460(+18),5.8
447,半泣き男,2,0,14,0,274(-173),5.5
447,偽遠野,5,1,2,0,358(-89),5.5
447,イケボ親父,3,0,10,0,363(-84),5.5
447,灼熱君,5,0,2,0,384(-63),5.5
447,16番(淫夢),5,1,2,0,405(-42),5.5
447,KMD,4,0,2,1,433(-14),5.5
447,YSKN,5,1,2,0,451(+4),5.5
447,津田君,3,0,6,1,465(+18),5.5
447,HYDIN,1,1,2,4,547(+100),5.5
447,本格的にドラえもんに見捨てられたのび太,1,0,18,0,New!!,5.5
457,ねこぢるの校長,3,1,9,0,427(-30),5.3
457,ヨシヒコ(SP),5,0,1,0,449(-8),5.3
457,吉川シケタ,5,0,1,0,456(-1),5.3
457,手錠男,5,0,1,0,462(+5),5.3
461,プリケツブラザーズ,4,1,4,0,320(-141),5
461,マッチョの弟の兄貴,4,0,4,0,381(-80),5
461,花澤香菜(淫夢),4,0,4,0,437(-24),5
461,TDN弟の周りを飛ぶ大きめの虫くん,4,1,4,0,450(-11),5
461,長井大,5,0,0,0,453(-8),5
461,SNY,5,0,0,0,461(±0),5
461,UNNNNNBR,4,0,4,0,468(+7),5
461,ザビエル河童,4,0,4,0,New!!,5
461,AKB48の秋元才加ファンだというハンサムな太目中年,2,1,12,0,444(-17),5
470,イグニス(淫夢),2,0,11,0,438(-32),4.8
470,ネアンデルタール,2,0,11,0,442(-28),4.8
470,ペガサスSIY,4,1,3,0,474(+4),4.8
473,星の仲間,2,0,10,0,346(-127),4.5
473,アラブ系スイマー兄貴,4,1,2,0,394(-79),4.5
473,イアン(淫夢),4,2,2,0,420(-53),4.5
473,FJNM,4,0,2,0,469(-4),4.5
473,でかちん父さん,3,0,6,0,502(+29),4.5
